Rank,Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,,,,,,
22,2012,32,21,11,0.656,49-30,0.62,404-361,0.528,45354,0.5,31,0.771,0.29,0.093,0.054,0.639,0.712,0.448,0.616,0.399,0.507,1.04,,,,,,
22,2011,55,38,17,0.691,93-52,0.641,774-677,0.533,45614,0.621,53,0.812,0.25,0.092,0.043,0.635,0.72,0.516,0.645,0.394,0.517,1.11,,,,,,
22,2010,66,46,20,0.697,112-68,0.622,948-842,0.53,20-15,0.571,61,0.827,0.229,0.112,0.044,0.628,0.732,0.511,0.65,0.378,0.511,1.08,,,,,,
22,2009,62,42,20,0.677,99-54,0.647,814-686,0.543,45549,0.609,60,0.844,0.249,0.121,0.03,0.623,0.756,0.502,0.66,0.38,0.518,1.12,,,,,,
22,2008,47,30,17,0.638,70-46,0.603,593-534,0.526,45571,0.625,47,0.796,0.253,0.101,0.042,0.608,0.738,0.496,0.643,0.385,0.512,1.08,,,,,,
22,2007,42,21,21,0.5,59-51,0.536,561-552,0.504,45609,0.542,42,0.805,0.196,0.139,0.046,0.571,0.75,0.52,0.651,0.361,0.503,1.03,,,,,,
22,2006,39,20,19,0.513,51-49,0.51,504-490,0.507,45546,0.45,39,0.749,0.269,0.079,0.05,0.568,0.698,0.495,0.61,0.392,0.501,1.01,,,,,,
22,2005,47,25,22,0.532,61-58,0.513,554-579,0.489,45600,0.733,47,0.719,0.254,0.104,0.042,0.532,0.727,0.462,0.602,0.391,0.495,0.98,,,,,,
23,2023,52,34,18,0.654,83-51,0.619,699-599,0.539,45633,0.632,52,0.84,0.235,0.09,0.025,0.636,0.739,0.533,0.664,0.385,0.521,1.14,,,,,,
23,2022,62,37,25,0.597,88-76,0.537,834-802,0.51,13-16,0.448,61,0.82,0.201,0.093,0.03,0.641,0.731,0.511,0.652,0.361,0.507,1.04,,,,,,
23,2021,59,35,24,0.593,95-66,0.59,832-759,0.523,45644,0.6,53,0.825,0.209,0.085,0.029,0.628,0.722,0.523,0.648,0.37,0.509,1.05,,,,,,
23,2020,35,20,15,0.571,58-44,0.569,519-484,0.517,45634,0.6,35,0.808,0.23,0.076,0.03,0.641,0.723,0.509,0.647,0.378,0.511,1.07,,,,,,
23,2019,58,30,28,0.517,79-78,0.503,803-797,0.502,14-20,0.412,58,0.823,0.191,0.089,0.036,0.625,0.728,0.525,0.652,0.361,0.502,1.04,,,,,,
23,2018,67,44,23,0.657,108-63,0.632,945-795,0.543,20-23,0.465,67,0.865,0.226,0.125,0.028,0.645,0.765,0.523,0.679,0.373,0.524,1.16,,,,,,
